लिङ्ग	अन्तिमाक्षरः/ विशेषता	अन्यसंज्ञा	टिप्पनी	संबोधनम्	सुँ	औ	जस्	अम्	औट्	शस्	टा	भ्याम्	भिस्	ङे	भ्यस्	ङसि	ङस्	ओस्	आम्	ङि	सुप्	अङ्गकार्यम् सार्वत्रिकम्	सन्धिकार्याणि	उदाहरणम्
नपुंसक	न्		शेषम् पुम्-वत्	चर्मन् चर्म	चर्म	चर्मणी	चर्माणि	सु-वत्	औ-वत्	जस्-वत्														चर्मन्
नपुंसक	इनिट्		शेषम् पुम्-वत्	मनोहारि	मनोहारि	मनोहारिणी	मनोहारीणि	सु-वत्	औ-वत्	जस्-वत्														मनोहारिन्
नपुंसक	स्		शेषम् पुम्-वत्। स्-स्थाने ष्।		ज्योतिः	ज्योतिषी	ज्योतींषि	सु-वत्	औ-वत्	जस्-वत्														ज्योतिस्
नपुंसक	स्																							सुमनस्
नपुंसक	स्				नमस्	नमसी	नमांसि	सु-वत्	औ-वत्	जस्-वत्														नमस्
नपुंसक	क्				तादृक् 	तादृशी 	तादॄंशि	सु-वत्	औ-वत्	जस्-वत्											तादृक्षु			तदृक्
सर्व		सर्वनाम	अनुदात्तं सर्वम् अपादादौ इति अस्मात् - मा मे नः त्वा ते वः एनम् इत्यादयः न युक्ताः वाक्यस्य वा पादस्य आदौ। 		अहं	आवां	वयं	माम् मा	आवां नौ	अस्मान् नः	मया	आवाभ्याम्	अस्माभिः	मह्यं मे	अस्मभ्यं नः	मत्	मम मे	आवयोः नौ	अस्माकं नः	मयि	अस्मासु			अस्मत्
सर्व		सर्वनाम	अनुदात्तं सर्वम् अपादादौ इति अस्मात् - मा मे नः त्वा ते वः एनम् इत्यादयः न युक्ताः वाक्यस्य वा पादस्य आदौ।		त्वम्	युवाम्	यूयम्	त्वाम् त्वा	युवाम् वाम्	युष्मान् वः	त्वया	युवाभ्याम्	युष्माभिः	तुब्यं ते	युष्मभ्यम् वः	त्वत्	तव ते	युवयोः वाम्	युष्माकम् वः	त्वयि	युष्मासु			युष्मत्
सर्व		सर्वनाम					पञ्च			जस्-वत्											पञ्चसु			पञ्चन्
सर्व		सर्वनाम					अष्ट, अष्टौ			जस्-वत्			अष्टभिः अष्टाभ्याम्		अष्टभ्यः अष्टाभ्यः				अष्टानाम्		अष्टासु			अष्टन्
सर्व		सर्वनाम					कति			जस्-वत्														कति
पुम्		सर्वनाम	असूचितेषु त-वत्		सः	तौ	ते							तस्मै					तेषाम्	तस्मिन्				तत्
